NM_BAIRRO,area_km2
Marco,4.903819105341858
Reduto,0.8758376993616717
Batista Campos,1.4253874521297123
Cidade Velha,1.4744432611539195
Guamá,4.310685220930785
Campina,1.0616906031590008
São Brás,1.617785220410128
Umarizal,2.678142200689915
Nazaré,1.5154274072944556
Cremação,1.47400030980489
Tapanã,10.779034294167705
Bengui,1.8980143743471776
Coqueiro,6.894850581855782
Una,0.8483017985956611
Parque Verde,4.99459828022318
Pratinha,3.863111736403858
Cabanagem,1.713652329070761
São Clemente,1.2304199079459486
Val-de-Cães,9.337061292243602
Águas Lindas,3.2970175193678
Marambaia,5.052313942811706
Curió-Utinga,30.143205263599416
Souza,4.045667641146619
Mangueirão,6.252939020207062
Aurá,6.287488028216439
Universitário,4.581984741689314
Guanabara,0.7495228996114447
Castanheira,2.359909754028998
Canudos,0.7984289804067427
Jurunas,2.5576406647636336
Montese (Terra Firme),2.4124966424120795
Condor,1.8228024167004355
Tenoné,6.7900523001562405
Parque Guajará,5.580920895998212
Maracacuera,7.985359898307996
Cruzeiro,2.1586823344157358
Ponta Grossa,1.5609981042383394
Paracuri,2.803768773337613
Agulha,1.2995880231121855
Águas Negras,5.1999818840964815
Campina de Icoaraci,2.7060412963139817
Aeroporto,0.48186012332473166
Carananduba,3.4811116566099147
Natal do Murubira,0.5053597312230712
Baía do Sol,7.941102459512985
Arirambá,3.6818720977339927
Praia Grande,0.6252190375066249
Vila,1.5059912656261891
Caruara,3.0550926666947626
Murubira,2.296423592691223
Chapéu Virado,1.3363988939879958
Sucurijuquara,7.266661891252792
São Francisco,2.730690081067558
Marahú,2.864738381785892
Mangueiras,4.187717866654507
Farol,1.011322623686841
Porto Arthur,0.35431690520968817
Bonfim,6.90276108545513
Paraíso,2.3305905691372284
Maracajá,3.933942422648278
Itaiteua,2.15983778077764
Água Boa,1.7496793319960966
São João do Outeiro,5.908241629045036
Brasília,3.287588967616312
Fátima,0.6194984549544649
Telégrafo,2.3564335803896976
Sacramenta,2.3721458029203335
Maracangalha,1.9460251979596805
Pedreira,3.7104344833535965
Barreiro,1.0301698406073814
Miramar,1.6190994831034071
