Bairro,alfabetização
Batista Campos,99.2
Canudos,98.07
Cidade Velha,98.64
Condor,96.38
Cremação,98.18
Guamá,95.91
Jurunas,95.99
Marambaia,97.43
Marco,98.38
Fátima,98.19
Nazaré,99.61
Pedreira,98.03
Reduto,99.39
Sacramenta,97.02
São Brás,99.12
Souza,98.76
Telégrafo,97.06
Montese (Terra Firme),95.17
Campina,99.19
Umarizal,98.98
Barreiro,94.17
Maracangalha,96.97
Miramar,97.65
Curió-Utinga,96.76
Val-de-Cães,98.58
Mangueirão,97.59
Universitário,94.73
Castanheira,97.76
Guanabara,95.08
Águas Lindas,94.38
Aurá,92.84
Bengui,95.16
Cabanagem,95.56
Coqueiro,98.21
Parque Verde,97.41
Pratinha,94.97
São Clemente,95.73
Tapanã,96.07
Una,94.43
Águas Negras,95.04
Agulha,95.24
Campina de Icoaraci,96.34
Cruzeiro,96.96
Maracacuera,93.69
Paracuri,93.78
Parque Guajará,94.38
Ponta Grossa,97.57
Tenoné,96.64
São João do Outeiro,95.02
Itaiteua,94.04
Brasília,95.84
Água Boa,94.29
Aeroporto,94.15
Arirambá,93.86
Carananduba,94.39
Caruara,92.56
Farol,96.02
Mangueiras,92.88
Maracajá,94.71
Natal do Murubira,93.54
Porto Arthur,98.33
São Francisco,90.95
Sucurijuquara,95.2
Vila,96.59
Praia Grande,95.6
Chapéu Virado,96.78
Murubira,91.45
Bonfim,86.49
Marahú,99.22
Paraíso,95.16
Baía do Sol,92.12
