Bairro,Total,Urbana - cidade ou vila - área urbanizada
Batista Campos,5795,5795
Canudos,3619,3619
Cidade Velha,3086,3086
Condor,10414,10414
Cremação,8324,8324
Guamá,23402,23402
Jurunas,15886,15886
Marambaia,17563,17563
Marco,18162,18162
Fátima,3008,3008
Nazaré,6404,6404
Pedreira,19016,19016
Reduto,1945,1945
Sacramenta,11515,11515
São Brás,5848,5848
Souza,3842,3842
Telégrafo,10587,10587
Montese (Terra Firme),15478,15478
Campina,2081,2081
Umarizal,8577,8577
Barreiro,6303,6303
Maracangalha,7707,7707
Miramar,139,139
Curió-Utinga,4414,4347
Val-de-Cães,1909,1909
Mangueirão,10092,10092
Universitário,689,689
Castanheira,6714,6714
Guanabara,430,430
Águas Lindas,4719,4719
Aurá,516,516
Bengui,7592,7592
Cabanagem,7151,7151
Coqueiro,14164,14164
Parque Verde,10776,10776
Pratinha,5737,5737
São Clemente,2124,2124
Tapanã,17529,17529
Una,1836,1836
Águas Negras,1842,1842
Agulha,5169,5169
Campina de Icoaraci,7073,7073
Cruzeiro,3109,3109
Maracacuera,3572,3572
Paracuri,2552,2552
Parque Guajará,9385,9385
Ponta Grossa,3694,3694
Tenoné,8267,8267
São João do Outeiro,3378,3378
Itaiteua,526,526
Brasília,1613,1613
Água Boa,2381,2381
Aeroporto,321,321
Arirambá,519,519
Carananduba,1376,1376
Caruara,203,-
Farol,236,236
Mangueiras,788,788
Maracajá,844,844
Natal do Murubira,291,291
Porto Arthur,75,75
São Francisco,632,632
Sucurijuquara,257,-
Vila,842,842
Praia Grande,197,197
Chapéu Virado,322,322
Murubira,437,437
Bonfim,210,210
Marahú,42,-
Paraíso,95,-
Baía do Sol,589,-
