Bairro,Total,Urbana - cidade ou vila - área urbanizada
Batista Campos,19062,19062
Canudos,13789,13789
Cidade Velha,12119,12119
Condor,42699,42699
Cremação,31257,31257
Guamá,94432,94432
Jurunas,64478,64478
Marambaia,66697,66697
Marco,65819,65819
Fátima,12385,12385
Nazaré,20449,20449
Pedreira,69544,69544
Reduto,6358,6358
Sacramenta,44413,44413
São Brás,19865,19865
Souza,13137,13137
Telégrafo,42953,42953
Montese (Terra Firme),61438,61438
Campina,6108,6108
Umarizal,30025,30025
Barreiro,26003,26003
Maracangalha,30534,30534
Miramar,515,515
Curió-Utinga,16639,16316
Val-de-Cães,7028,7028
Mangueirão,36224,36224
Universitário,2557,2557
Castanheira,24383,24383
Guanabara,1588,1588
Águas Lindas,17520,17520
Aurá,1827,1827
Bengui,29379,29379
Cabanagem,27781,27781
Coqueiro,51588,51588
Parque Verde,39126,39126
Pratinha,22585,22585
São Clemente,7714,7714
Tapanã,66642,66642
Una,6724,6724
Águas Negras,6890,6890
Agulha,19712,19712
Campina de Icoaraci,26718,26718
Cruzeiro,11644,11644
Maracacuera,13681,13681
Paracuri,9934,9934
Parque Guajará,34774,34774
Ponta Grossa,13245,13245
Tenoné,30429,30429
São João do Outeiro,12124,12124
Itaiteua,1939,1939
Brasília,6012,6012
Água Boa,8553,8553
Aeroporto,1170,1170
Arirambá,1942,1942
Carananduba,5445,5445
Caruara,794,-
Farol,849,849
Mangueiras,2842,2842
Maracajá,3345,3345
Natal do Murubira,1098,1098
Porto Arthur,282,282
São Francisco,2437,2437
Sucurijuquara,1074,-
Vila,3034,3034
Praia Grande,748,748
Chapéu Virado,1156,1156
Murubira,1517,1517
Bonfim,776,776
Marahú,132,-
Paraíso,315,-
Baía do Sol,2414,-
