Bairro,Total,Urbana - cidade ou vila - área urbanizada
Batista Campos,"3,29","3,29"
Canudos,"3,81","3,81"
Cidade Velha,"3,93","3,93"
Condor,"4,10","4,10"
Cremação,"3,76","3,76"
Guamá,"4,04","4,04"
Jurunas,"4,06","4,06"
Marambaia,"3,80","3,80"
Marco,"3,62","3,62"
Fátima,"4,12","4,12"
Nazaré,"3,19","3,19"
Pedreira,"3,66","3,66"
Reduto,"3,27","3,27"
Sacramenta,"3,86","3,86"
São Brás,"3,40","3,40"
Souza,"3,42","3,42"
Telégrafo,"4,06","4,06"
Montese (Terra Firme),"3,97","3,97"
Campina,"2,94","2,94"
Umarizal,"3,50","3,50"
Barreiro,"4,13","4,13"
Maracangalha,"3,96","3,96"
Miramar,"3,71","3,71"
Curió-Utinga,"3,77","3,75"
Val-de-Cães,"3,68","3,68"
Mangueirão,"3,59","3,59"
Universitário,"3,71","3,71"
Castanheira,"3,63","3,63"
Guanabara,"3,69","3,69"
Águas Lindas,"3,71","3,71"
Aurá,"3,54","3,54"
Bengui,"3,87","3,87"
Cabanagem,"3,88","3,88"
Coqueiro,"3,64","3,64"
Parque Verde,"3,63","3,63"
Pratinha,"3,94","3,94"
São Clemente,"3,63","3,63"
Tapanã,"3,80","3,80"
Una,"3,66","3,66"
Águas Negras,"3,74","3,74"
Agulha,"3,81","3,81"
Campina de Icoaraci,"3,78","3,78"
Cruzeiro,"3,75","3,75"
Maracacuera,"3,83","3,83"
Paracuri,"3,89","3,89"
Parque Guajará,"3,71","3,71"
Ponta Grossa,"3,59","3,59"
Tenoné,"3,68","3,68"
São João do Outeiro,"3,59","3,59"
Itaiteua,"3,69","3,69"
Brasília,"3,73","3,73"
Água Boa,"3,59","3,59"
Aeroporto,"3,64","3,64"
Arirambá,"3,74","3,74"
Carananduba,"3,96","3,96"
Caruara,"3,91",-
Farol,"3,60","3,60"
Mangueiras,"3,61","3,61"
Maracajá,"3,96","3,96"
Natal do Murubira,"3,77","3,77"
Porto Arthur,"3,76","3,76"
São Francisco,"3,86","3,86"
Sucurijuquara,"4,18",-
Vila,"3,60","3,60"
Praia Grande,"3,80","3,80"
Chapéu Virado,"3,59","3,59"
Murubira,"3,47","3,47"
Bonfim,"3,70","3,70"
Marahú,"3,14",-
Paraíso,"3,32",-
Baía do Sol,"4,10",-
