Bairro,Grupo de idade,Total,Total.1,Total.2
Batista Campos,Total,11763,5232,6531
Batista Campos,10 a 14 anos,34,19,15
Batista Campos,15 a 19 anos,235,92,143
Batista Campos,15 a 17 anos,80,36,44
Batista Campos,18 ou 19 anos,155,56,99
Batista Campos,20 a 24 anos,894,410,484
Batista Campos,25 a 29 anos,1255,548,707
Batista Campos,30 a 34 anos,1130,526,604
Batista Campos,35 a 39 anos,1070,471,599
Batista Campos,40 a 44 anos,1157,542,615
Batista Campos,45 a 49 anos,1131,543,588
Batista Campos,50 a 54 anos,1060,483,577
Batista Campos,55 a 59 anos,914,384,530
Batista Campos,60 a 69 anos,1458,662,796
Batista Campos,70 anos ou mais,1425,552,873
Canudos,Total,7863,3811,4052
Canudos,10 a 14 anos,37,13,24
Canudos,15 a 19 anos,155,71,84
Canudos,15 a 17 anos,55,28,27
Canudos,18 ou 19 anos,100,43,57
Canudos,20 a 24 anos,669,373,296
Canudos,25 a 29 anos,899,474,425
Canudos,30 a 34 anos,905,453,452
Canudos,35 a 39 anos,892,455,437
Canudos,40 a 44 anos,812,415,397
Canudos,45 a 49 anos,778,370,408
Canudos,50 a 54 anos,645,318,327
Canudos,55 a 59 anos,527,255,272
Canudos,60 a 69 anos,732,316,416
Canudos,70 anos ou mais,812,298,514
Cidade Velha,Total,6976,3346,3630
Cidade Velha,10 a 14 anos,34,19,15
Cidade Velha,15 a 19 anos,152,72,80
Cidade Velha,15 a 17 anos,39,14,25
Cidade Velha,18 ou 19 anos,113,58,55
Cidade Velha,20 a 24 anos,572,293,279
Cidade Velha,25 a 29 anos,770,407,363
Cidade Velha,30 a 34 anos,738,395,343
Cidade Velha,35 a 39 anos,691,343,348
Cidade Velha,40 a 44 anos,794,387,407
Cidade Velha,45 a 49 anos,642,328,314
Cidade Velha,50 a 54 anos,583,274,309
Cidade Velha,55 a 59 anos,490,240,250
Cidade Velha,60 a 69 anos,714,291,423
Cidade Velha,70 anos ou mais,796,297,499
Condor,Total,20917,10918,9999
Condor,10 a 14 anos,194,87,107
Condor,15 a 19 anos,619,352,267
Condor,15 a 17 anos,271,154,117
Condor,18 ou 19 anos,348,198,150
Condor,20 a 24 anos,1964,1067,897
Condor,25 a 29 anos,2735,1519,1216
Condor,30 a 34 anos,2867,1543,1324
Condor,35 a 39 anos,2542,1375,1167
Condor,40 a 44 anos,2285,1218,1067
Condor,45 a 49 anos,1877,1003,874
Condor,50 a 54 anos,1599,836,763
Condor,55 a 59 anos,1147,609,538
Condor,60 a 69 anos,1633,752,881
Condor,70 anos ou mais,1455,557,898
Cremação,Total,17096,8268,8828
Cremação,10 a 14 anos,111,58,53
Cremação,15 a 19 anos,403,216,187
Cremação,15 a 17 anos,152,78,74
Cremação,18 ou 19 anos,251,138,113
Cremação,20 a 24 anos,1348,705,643
Cremação,25 a 29 anos,2041,1058,983
Cremação,30 a 34 anos,1933,1005,928
Cremação,35 a 39 anos,1838,905,933
Cremação,40 a 44 anos,1814,879,935
Cremação,45 a 49 anos,1673,835,838
Cremação,50 a 54 anos,1424,720,704
Cremação,55 a 59 anos,1160,569,591
Cremação,60 a 69 anos,1735,755,980
Cremação,70 anos ou mais,1616,563,1053
Guamá,Total,44917,23841,21076
Guamá,10 a 14 anos,451,226,225
Guamá,15 a 19 anos,1295,754,541
Guamá,15 a 17 anos,510,295,215
Guamá,18 ou 19 anos,785,459,326
Guamá,20 a 24 anos,4299,2456,1843
Guamá,25 a 29 anos,5954,3410,2544
Guamá,30 a 34 anos,5946,3236,2710
Guamá,35 a 39 anos,5617,3057,2560
Guamá,40 a 44 anos,4836,2600,2236
Guamá,45 a 49 anos,4025,2175,1850
Guamá,50 a 54 anos,3319,1752,1567
Guamá,55 a 59 anos,2489,1291,1198
Guamá,60 a 69 anos,3587,1711,1876
Guamá,70 anos ou mais,3099,1173,1926
Jurunas,Total,32828,16973,15855
Jurunas,10 a 14 anos,348,180,168
Jurunas,15 a 19 anos,1000,556,444
Jurunas,15 a 17 anos,421,233,188
Jurunas,18 ou 19 anos,579,323,256
Jurunas,20 a 24 anos,3123,1768,1355
Jurunas,25 a 29 anos,4313,2314,1999
Jurunas,30 a 34 anos,4330,2326,2004
Jurunas,35 a 39 anos,3915,2103,1812
Jurunas,40 a 44 anos,3488,1822,1666
Jurunas,45 a 49 anos,2825,1467,1358
Jurunas,50 a 54 anos,2453,1272,1181
Jurunas,55 a 59 anos,1862,957,905
Jurunas,60 a 69 anos,2693,1283,1410
Jurunas,70 anos ou mais,2478,925,1553
Marambaia,Total,35312,18014,17298
Marambaia,10 a 14 anos,339,179,160
Marambaia,15 a 19 anos,933,510,423
Marambaia,15 a 17 anos,381,209,172
Marambaia,18 ou 19 anos,552,301,251
Marambaia,20 a 24 anos,3116,1674,1442
Marambaia,25 a 29 anos,4450,2398,2052
Marambaia,30 a 34 anos,4441,2342,2099
Marambaia,35 a 39 anos,4165,2190,1975
Marambaia,40 a 44 anos,3853,1995,1858
Marambaia,45 a 49 anos,2873,1480,1393
Marambaia,50 a 54 anos,2749,1392,1357
Marambaia,55 a 59 anos,2253,1169,1084
Marambaia,60 a 69 anos,3398,1609,1789
Marambaia,70 anos ou mais,2742,1076,1666
Marco,Total,36975,18001,18974
Marco,10 a 14 anos,210,116,94
Marco,15 a 19 anos,692,339,353
Marco,15 a 17 anos,260,120,140
Marco,18 ou 19 anos,432,219,213
Marco,20 a 24 anos,3038,1574,1464
Marco,25 a 29 anos,4478,2239,2239
Marco,30 a 34 anos,4273,2190,2083
Marco,35 a 39 anos,3900,1965,1935
Marco,40 a 44 anos,3878,1967,1911
Marco,45 a 49 anos,3611,1813,1798
Marco,50 a 54 anos,3234,1599,1635
Marco,55 a 59 anos,2610,1245,1365
Marco,60 a 69 anos,3681,1656,2025
Marco,70 anos ou mais,3370,1298,2072
Fátima,Total,6379,3171,3208
Fátima,10 a 14 anos,45,22,23
Fátima,15 a 19 anos,162,84,78
Fátima,15 a 17 anos,61,30,31
Fátima,18 ou 19 anos,101,54,47
Fátima,20 a 24 anos,534,268,266
Fátima,25 a 29 anos,722,386,336
Fátima,30 a 34 anos,777,434,343
Fátima,35 a 39 anos,696,371,325
Fátima,40 a 44 anos,647,315,332
Fátima,45 a 49 anos,588,315,273
Fátima,50 a 54 anos,513,268,245
Fátima,55 a 59 anos,430,195,235
Fátima,60 a 69 anos,663,290,373
Fátima,70 anos ou mais,602,223,379
Nazaré,Total,13138,5762,7376
Nazaré,10 a 14 anos,30,10,20
Nazaré,15 a 19 anos,212,84,128
Nazaré,15 a 17 anos,61,20,41
Nazaré,18 ou 19 anos,151,64,87
Nazaré,20 a 24 anos,903,406,497
Nazaré,25 a 29 anos,1236,567,669
Nazaré,30 a 34 anos,1260,596,664
Nazaré,35 a 39 anos,1186,543,643
Nazaré,40 a 44 anos,1166,541,625
Nazaré,45 a 49 anos,1317,594,723
Nazaré,50 a 54 anos,1235,558,677
Nazaré,55 a 59 anos,1093,484,609
Nazaré,60 a 69 anos,1662,732,930
Nazaré,70 anos ou mais,1838,647,1191
Pedreira,Total,38128,18739,19389
Pedreira,10 a 14 anos,239,116,123
Pedreira,15 a 19 anos,788,421,367
Pedreira,15 a 17 anos,278,138,140
Pedreira,18 ou 19 anos,510,283,227
Pedreira,20 a 24 anos,3209,1712,1497
Pedreira,25 a 29 anos,4548,2366,2182
Pedreira,30 a 34 anos,4576,2354,2222
Pedreira,35 a 39 anos,4249,2148,2101
Pedreira,40 a 44 anos,4047,2061,1986
Pedreira,45 a 49 anos,3706,1882,1824
Pedreira,50 a 54 anos,3328,1676,1652
Pedreira,55 a 59 anos,2491,1241,1250
Pedreira,60 a 69 anos,3574,1580,1994
Pedreira,70 anos ou mais,3373,1182,2191
Reduto,Total,4054,1801,2253
Reduto,10 a 14 anos,14,5,9
Reduto,15 a 19 anos,63,30,33
Reduto,15 a 17 anos,21,8,13
Reduto,18 ou 19 anos,42,22,20
Reduto,20 a 24 anos,288,125,163
Reduto,25 a 29 anos,448,201,247
Reduto,30 a 34 anos,403,197,206
Reduto,35 a 39 anos,334,160,174
Reduto,40 a 44 anos,316,144,172
Reduto,45 a 49 anos,396,181,215
Reduto,50 a 54 anos,406,190,216
Reduto,55 a 59 anos,357,163,194
Reduto,60 a 69 anos,554,238,316
Reduto,70 anos ou mais,475,167,308
Sacramenta,Total,22709,11892,10817
Sacramenta,10 a 14 anos,261,132,129
Sacramenta,15 a 19 anos,649,376,273
Sacramenta,15 a 17 anos,257,136,121
Sacramenta,18 ou 19 anos,392,240,152
Sacramenta,20 a 24 anos,2175,1242,933
Sacramenta,25 a 29 anos,2973,1640,1333
Sacramenta,30 a 34 anos,2938,1596,1342
Sacramenta,35 a 39 anos,2695,1474,1221
Sacramenta,40 a 44 anos,2474,1328,1146
Sacramenta,45 a 49 anos,2003,1051,952
Sacramenta,50 a 54 anos,1663,909,754
Sacramenta,55 a 59 anos,1287,650,637
Sacramenta,60 a 69 anos,1939,896,1043
Sacramenta,70 anos ou mais,1652,598,1054
São Brás,Total,12321,5495,6826
São Brás,10 a 14 anos,32,16,16
São Brás,15 a 19 anos,211,109,102
São Brás,15 a 17 anos,69,30,39
São Brás,18 ou 19 anos,142,79,63
São Brás,20 a 24 anos,924,432,492
São Brás,25 a 29 anos,1310,621,689
São Brás,30 a 34 anos,1272,619,653
São Brás,35 a 39 anos,1033,472,561
São Brás,40 a 44 anos,1118,517,601
São Brás,45 a 49 anos,1205,564,641
São Brás,50 a 54 anos,1170,524,646
São Brás,55 a 59 anos,994,447,547
São Brás,60 a 69 anos,1450,622,828
São Brás,70 anos ou mais,1602,552,1050
Souza,Total,7385,3674,3711
Souza,10 a 14 anos,27,14,13
Souza,15 a 19 anos,146,67,79
Souza,15 a 17 anos,35,16,19
Souza,18 ou 19 anos,111,51,60
Souza,20 a 24 anos,705,362,343
Souza,25 a 29 anos,978,478,500
Souza,30 a 34 anos,876,464,412
Souza,35 a 39 anos,878,466,412
Souza,40 a 44 anos,786,430,356
Souza,45 a 49 anos,797,408,389
Souza,50 a 54 anos,658,315,343
Souza,55 a 59 anos,440,206,234
Souza,60 a 69 anos,558,256,302
Souza,70 anos ou mais,536,208,328
Telégrafo,Total,21475,11084,10391
Telégrafo,10 a 14 anos,209,99,110
Telégrafo,15 a 19 anos,519,281,238
Telégrafo,15 a 17 anos,221,109,112
Telégrafo,18 ou 19 anos,298,172,126
Telégrafo,20 a 24 anos,1783,1018,765
Telégrafo,25 a 29 anos,2619,1445,1174
Telégrafo,30 a 34 anos,2620,1433,1187
Telégrafo,35 a 39 anos,2510,1339,1171
Telégrafo,40 a 44 anos,2260,1219,1041
Telégrafo,45 a 49 anos,1976,1074,902
Telégrafo,50 a 54 anos,1692,875,817
Telégrafo,55 a 59 anos,1286,652,634
Telégrafo,60 a 69 anos,1988,879,1109
Telégrafo,70 anos ou mais,2013,770,1243
Montese (Terra Firme),Total,29712,15970,13742
Montese (Terra Firme),10 a 14 anos,452,236,216
Montese (Terra Firme),15 a 19 anos,1090,642,448
Montese (Terra Firme),15 a 17 anos,458,272,186
Montese (Terra Firme),18 ou 19 anos,632,370,262
Montese (Terra Firme),20 a 24 anos,3195,1842,1353
Montese (Terra Firme),25 a 29 anos,4325,2407,1918
Montese (Terra Firme),30 a 34 anos,4174,2289,1885
Montese (Terra Firme),35 a 39 anos,3615,1947,1668
Montese (Terra Firme),40 a 44 anos,3051,1659,1392
Montese (Terra Firme),45 a 49 anos,2493,1296,1197
Montese (Terra Firme),50 a 54 anos,2173,1201,972
Montese (Terra Firme),55 a 59 anos,1580,858,722
Montese (Terra Firme),60 a 69 anos,2095,1007,1088
Montese (Terra Firme),70 anos ou mais,1469,586,883
Campina,Total,3927,1794,2133
Campina,10 a 14 anos,13,5,8
Campina,15 a 19 anos,67,26,41
Campina,15 a 17 anos,12,7,5
Campina,18 ou 19 anos,55,19,36
Campina,20 a 24 anos,316,155,161
Campina,25 a 29 anos,459,218,241
Campina,30 a 34 anos,385,168,217
Campina,35 a 39 anos,383,186,197
Campina,40 a 44 anos,359,174,185
Campina,45 a 49 anos,387,190,197
Campina,50 a 54 anos,358,181,177
Campina,55 a 59 anos,303,129,174
Campina,60 a 69 anos,452,202,250
Campina,70 anos ou mais,445,160,285
Umarizal,Total,18063,8324,9739
Umarizal,10 a 14 anos,65,39,26
Umarizal,15 a 19 anos,284,135,149
Umarizal,15 a 17 anos,77,30,47
Umarizal,18 ou 19 anos,207,105,102
Umarizal,20 a 24 anos,1297,625,672
Umarizal,25 a 29 anos,1929,945,984
Umarizal,30 a 34 anos,1813,888,925
Umarizal,35 a 39 anos,1694,800,894
Umarizal,40 a 44 anos,1784,855,929
Umarizal,45 a 49 anos,1847,911,936
Umarizal,50 a 54 anos,1730,797,933
Umarizal,55 a 59 anos,1394,662,732
Umarizal,60 a 69 anos,2030,900,1130
Umarizal,70 anos ou mais,2196,767,1429
Barreiro,Total,11743,6539,5204
Barreiro,10 a 14 anos,146,65,81
Barreiro,15 a 19 anos,487,292,195
