Bairro,Grupo de idade,Total,Total.1,Total.2
Batista Campos,Total,"100,00","44,48","55,52"
Batista Campos,10 a 14 anos,"0,29","0,16","0,13"
Batista Campos,15 a 19 anos,"2,00","0,78","1,22"
Batista Campos,15 a 17 anos,"0,68","0,31","0,37"
Batista Campos,18 ou 19 anos,"1,32","0,48","0,84"
Batista Campos,20 a 24 anos,"7,60","3,49","4,11"
Batista Campos,25 a 29 anos,"10,67","4,66","6,01"
Batista Campos,30 a 34 anos,"9,61","4,47","5,13"
Batista Campos,35 a 39 anos,"9,10","4,00","5,09"
Batista Campos,40 a 44 anos,"9,84","4,61","5,23"
Batista Campos,45 a 49 anos,"9,61","4,62","5,00"
Batista Campos,50 a 54 anos,"9,01","4,11","4,91"
Batista Campos,55 a 59 anos,"7,77","3,26","4,51"
Batista Campos,60 a 69 anos,"12,39","5,63","6,77"
Batista Campos,70 anos ou mais,"12,11","4,69","7,42"
Canudos,Total,"100,00","48,47","51,53"
Canudos,10 a 14 anos,"0,47","0,17","0,31"
Canudos,15 a 19 anos,"1,97","0,90","1,07"
Canudos,15 a 17 anos,"0,70","0,36","0,34"
Canudos,18 ou 19 anos,"1,27","0,55","0,72"
Canudos,20 a 24 anos,"8,51","4,74","3,76"
Canudos,25 a 29 anos,"11,43","6,03","5,41"
Canudos,30 a 34 anos,"11,51","5,76","5,75"
Canudos,35 a 39 anos,"11,34","5,79","5,56"
Canudos,40 a 44 anos,"10,33","5,28","5,05"
Canudos,45 a 49 anos,"9,89","4,71","5,19"
Canudos,50 a 54 anos,"8,20","4,04","4,16"
Canudos,55 a 59 anos,"6,70","3,24","3,46"
Canudos,60 a 69 anos,"9,31","4,02","5,29"
Canudos,70 anos ou mais,"10,33","3,79","6,54"
Cidade Velha,Total,"100,00","47,96","52,04"
Cidade Velha,10 a 14 anos,"0,49","0,27","0,22"
Cidade Velha,15 a 19 anos,"2,18","1,03","1,15"
Cidade Velha,15 a 17 anos,"0,56","0,20","0,36"
Cidade Velha,18 ou 19 anos,"1,62","0,83","0,79"
Cidade Velha,20 a 24 anos,"8,20","4,20","4,00"
Cidade Velha,25 a 29 anos,"11,04","5,83","5,20"
Cidade Velha,30 a 34 anos,"10,58","5,66","4,92"
Cidade Velha,35 a 39 anos,"9,91","4,92","4,99"
Cidade Velha,40 a 44 anos,"11,38","5,55","5,83"
Cidade Velha,45 a 49 anos,"9,20","4,70","4,50"
Cidade Velha,50 a 54 anos,"8,36","3,93","4,43"
Cidade Velha,55 a 59 anos,"7,02","3,44","3,58"
Cidade Velha,60 a 69 anos,"10,24","4,17","6,06"
Cidade Velha,70 anos ou mais,"11,41","4,26","7,15"
Condor,Total,"100,00","52,20","47,80"
Condor,10 a 14 anos,"0,93","0,42","0,51"
Condor,15 a 19 anos,"2,96","1,68","1,28"
Condor,15 a 17 anos,"1,30","0,74","0,56"
Condor,18 ou 19 anos,"1,66","0,95","0,72"
Condor,20 a 24 anos,"9,39","5,10","4,29"
Condor,25 a 29 anos,"13,08","7,26","5,81"
Condor,30 a 34 anos,"13,71","7,38","6,33"
Condor,35 a 39 anos,"12,15","6,57","5,58"
Condor,40 a 44 anos,"10,92","5,82","5,10"
Condor,45 a 49 anos,"8,97","4,80","4,18"
Condor,50 a 54 anos,"7,64","4,00","3,65"
Condor,55 a 59 anos,"5,48","2,91","2,57"
Condor,60 a 69 anos,"7,81","3,60","4,21"
Condor,70 anos ou mais,"6,96","2,66","4,29"
Cremação,Total,"100,00","48,36","51,64"
Cremação,10 a 14 anos,"0,65","0,34","0,31"
Cremação,15 a 19 anos,"2,36","1,26","1,09"
Cremação,15 a 17 anos,"0,89","0,46","0,43"
Cremação,18 ou 19 anos,"1,47","0,81","0,66"
Cremação,20 a 24 anos,"7,88","4,12","3,76"
Cremação,25 a 29 anos,"11,94","6,19","5,75"
Cremação,30 a 34 anos,"11,31","5,88","5,43"
Cremação,35 a 39 anos,"10,75","5,29","5,46"
Cremação,40 a 44 anos,"10,61","5,14","5,47"
Cremação,45 a 49 anos,"9,79","4,88","4,90"
Cremação,50 a 54 anos,"8,33","4,21","4,12"
Cremação,55 a 59 anos,"6,79","3,33","3,46"
Cremação,60 a 69 anos,"10,15","4,42","5,73"
Cremação,70 anos ou mais,"9,45","3,29","6,16"
Guamá,Total,"100,00","53,08","46,92"
Guamá,10 a 14 anos,"1,00","0,50","0,50"
Guamá,15 a 19 anos,"2,88","1,68","1,20"
Guamá,15 a 17 anos,"1,14","0,66","0,48"
Guamá,18 ou 19 anos,"1,75","1,02","0,73"
Guamá,20 a 24 anos,"9,57","5,47","4,10"
Guamá,25 a 29 anos,"13,26","7,59","5,66"
Guamá,30 a 34 anos,"13,24","7,20","6,03"
Guamá,35 a 39 anos,"12,51","6,81","5,70"
Guamá,40 a 44 anos,"10,77","5,79","4,98"
Guamá,45 a 49 anos,"8,96","4,84","4,12"
Guamá,50 a 54 anos,"7,39","3,90","3,49"
Guamá,55 a 59 anos,"5,54","2,87","2,67"
Guamá,60 a 69 anos,"7,99","3,81","4,18"
Guamá,70 anos ou mais,"6,90","2,61","4,29"
Jurunas,Total,"100,00","51,70","48,30"
Jurunas,10 a 14 anos,"1,06","0,55","0,51"
Jurunas,15 a 19 anos,"3,05","1,69","1,35"
Jurunas,15 a 17 anos,"1,28","0,71","0,57"
Jurunas,18 ou 19 anos,"1,76","0,98","0,78"
Jurunas,20 a 24 anos,"9,51","5,39","4,13"
Jurunas,25 a 29 anos,"13,14","7,05","6,09"
Jurunas,30 a 34 anos,"13,19","7,09","6,10"
Jurunas,35 a 39 anos,"11,93","6,41","5,52"
Jurunas,40 a 44 anos,"10,63","5,55","5,07"
Jurunas,45 a 49 anos,"8,61","4,47","4,14"
Jurunas,50 a 54 anos,"7,47","3,87","3,60"
Jurunas,55 a 59 anos,"5,67","2,92","2,76"
Jurunas,60 a 69 anos,"8,20","3,91","4,30"
Jurunas,70 anos ou mais,"7,55","2,82","4,73"
Marambaia,Total,"100,00","51,01","48,99"
Marambaia,10 a 14 anos,"0,96","0,51","0,45"
Marambaia,15 a 19 anos,"2,64","1,44","1,20"
Marambaia,15 a 17 anos,"1,08","0,59","0,49"
Marambaia,18 ou 19 anos,"1,56","0,85","0,71"
Marambaia,20 a 24 anos,"8,82","4,74","4,08"
Marambaia,25 a 29 anos,"12,60","6,79","5,81"
Marambaia,30 a 34 anos,"12,58","6,63","5,94"
Marambaia,35 a 39 anos,"11,79","6,20","5,59"
Marambaia,40 a 44 anos,"10,91","5,65","5,26"
Marambaia,45 a 49 anos,"8,14","4,19","3,94"
Marambaia,50 a 54 anos,"7,78","3,94","3,84"
Marambaia,55 a 59 anos,"6,38","3,31","3,07"
Marambaia,60 a 69 anos,"9,62","4,56","5,07"
Marambaia,70 anos ou mais,"7,77","3,05","4,72"
Marco,Total,"100,00","48,68","51,32"
Marco,10 a 14 anos,"0,57","0,31","0,25"
Marco,15 a 19 anos,"1,87","0,92","0,95"
Marco,15 a 17 anos,"0,70","0,32","0,38"
Marco,18 ou 19 anos,"1,17","0,59","0,58"
Marco,20 a 24 anos,"8,22","4,26","3,96"
Marco,25 a 29 anos,"12,11","6,06","6,06"
