Bairro,Grupo de idade,Total,Total.1,Total.2
Batista Campos,Total,"3742,05","4662,24","3004,88"
Batista Campos,10 a 14 anos,"1064,65","1164,42","938,27"
Batista Campos,15 a 19 anos,"670,00","718,66","638,69"
Batista Campos,15 a 17 anos,"649,31","765,00","554,66"
Batista Campos,18 ou 19 anos,"680,67","688,88","676,03"
Batista Campos,20 a 24 anos,"1126,70","1370,49","920,19"
Batista Campos,25 a 29 anos,"2136,77","2514,03","1844,36"
Batista Campos,30 a 34 anos,"3051,18","3501,75","2658,78"
Batista Campos,35 a 39 anos,"3668,95","4570,77","2959,84"
Batista Campos,40 a 44 anos,"4025,79","5086,16","3091,28"
Batista Campos,45 a 49 anos,"4576,26","5216,55","3984,97"
Batista Campos,50 a 54 anos,"5112,52","6317,16","4104,12"
Batista Campos,55 a 59 anos,"5609,70","6991,46","4608,58"
Batista Campos,60 a 69 anos,"4841,85","6317,67","3614,47"
Batista Campos,70 anos ou mais,"3734,73","5186,20","2816,95"
Canudos,Total,"1275,72","1450,81","1111,05"
Canudos,10 a 14 anos,"478,30","441,54","498,21"
Canudos,15 a 19 anos,"475,91","495,52","459,33"
Canudos,15 a 17 anos,"366,25","402,00","329,19"
Canudos,18 ou 19 anos,"536,22","556,42","520,98"
Canudos,20 a 24 anos,"713,15","749,01","667,95"
Canudos,25 a 29 anos,"986,53","1064,01","900,13"
Canudos,30 a 34 anos,"1081,37","1150,55","1012,04"
Canudos,35 a 39 anos,"1216,94","1347,61","1080,88"
Canudos,40 a 44 anos,"1327,71","1484,15","1164,17"
Canudos,45 a 49 anos,"1520,83","1754,17","1309,23"
Canudos,50 a 54 anos,"1744,80","2089,61","1409,47"
Canudos,55 a 59 anos,"1720,70","2074,35","1389,15"
Canudos,60 a 69 anos,"1656,88","2000,75","1395,68"
Canudos,70 anos ou mais,"1237,76","1608,69","1022,71"
Cidade Velha,Total,"1931,71","2238,48","1648,93"
Cidade Velha,10 a 14 anos,"714,12","693,37","740,40"
Cidade Velha,15 a 19 anos,"610,96","620,36","602,50"
Cidade Velha,15 a 17 anos,"519,49","442,14","562,80"
Cidade Velha,18 ou 19 anos,"642,53","663,38","620,55"
Cidade Velha,20 a 24 anos,"881,94","960,91","799,01"
Cidade Velha,25 a 29 anos,"1379,15","1577,82","1156,39"
Cidade Velha,30 a 34 anos,"1615,99","1783,84","1422,68"
Cidade Velha,35 a 39 anos,"1798,59","2006,51","1593,65"
Cidade Velha,40 a 44 anos,"2392,25","2414,40","2371,18"
Cidade Velha,45 a 49 anos,"2441,58","3191,76","1657,96"
Cidade Velha,50 a 54 anos,"2446,30","2980,42","1972,68"
Cidade Velha,55 a 59 anos,"2632,19","3050,94","2230,19"
Cidade Velha,60 a 69 anos,"2231,96","2616,19","1967,63"
Cidade Velha,70 anos ou mais,"1985,01","2774,79","1514,94"
Condor,Total,"845,55","937,87","744,74"
Condor,10 a 14 anos,"207,76","197,48","216,12"
Condor,15 a 19 anos,"405,91","414,28","394,88"
Condor,15 a 17 anos,"323,83","361,29","274,54"
Condor,18 ou 19 anos,"469,82","455,49","488,75"
Condor,20 a 24 anos,"588,17","635,85","531,45"
Condor,25 a 29 anos,"733,37","794,19","657,39"
Condor,30 a 34 anos,"830,12","894,98","754,55"
Condor,35 a 39 anos,"863,13","917,31","799,30"
Condor,40 a 44 anos,"950,20","1061,63","823,01"
Condor,45 a 49 anos,"1035,49","1167,08","884,48"
Condor,50 a 54 anos,"1025,13","1170,94","865,36"
Condor,55 a 59 anos,"1101,65","1253,84","929,37"
Condor,60 a 69 anos,"951,87","1143,37","788,42"
Condor,70 anos ou mais,"747,64","868,26","672,82"
Cremação,Total,"1769,97","2033,11","1523,52"
Cremação,10 a 14 anos,"364,46","505,19","210,45"
Cremação,15 a 19 anos,"590,17","618,21","557,79"
Cremação,15 a 17 anos,"520,08","601,42","434,34"
Cremação,18 ou 19 anos,"632,62","627,70","638,63"
Cremação,20 a 24 anos,"795,94","811,12","779,29"
Cremação,25 a 29 anos,"1160,47","1249,37","1064,78"
Cremação,30 a 34 anos,"1463,19","1628,72","1283,93"
Cremação,35 a 39 anos,"1556,44","1747,48","1371,13"
Cremação,40 a 44 anos,"1774,57","2024,19","1539,90"
Cremação,45 a 49 anos,"2278,64","2736,52","1822,39"
Cremação,50 a 54 anos,"2487,27","2818,41","2148,61"
Cremação,55 a 59 anos,"2784,41","3144,12","2438,08"
Cremação,60 a 69 anos,"2545,41","3230,14","2017,89"
Cremação,70 anos ou mais,"1628,26","2155,66","1346,28"
Guamá,Total,"940,73","1022,52","848,20"
Guamá,10 a 14 anos,"217,35","237,54","197,08"
Guamá,15 a 19 anos,"400,47","425,60","365,45"
Guamá,15 a 17 anos,"326,68","346,13","299,99"
Guamá,18 ou 19 anos,"448,41","476,68","408,61"
Guamá,20 a 24 anos,"595,45","636,80","540,34"
Guamá,25 a 29 anos,"766,10","820,95","692,57"
Guamá,30 a 34 anos,"858,80","917,50","788,70"
Guamá,35 a 39 anos,"945,60","1050,58","820,25"
Guamá,40 a 44 anos,"1029,69","1144,09","896,65"
Guamá,45 a 49 anos,"1116,97","1203,42","1015,34"
Guamá,50 a 54 anos,"1218,74","1363,66","1056,70"
Guamá,55 a 59 anos,"1231,95","1341,04","1114,40"
Guamá,60 a 69 anos,"1188,50","1345,77","1045,07"
Guamá,70 anos ou mais,"1048,43","1231,10","937,18"
Jurunas,Total,"1065,28","1164,85","958,69"
Jurunas,10 a 14 anos,"262,76","314,33","207,50"
