Bairro,Grupo de idade,Total,Total.1,Total.2
Batista Campos,Total,"2000,00","2550,00","1700,00"
Batista Campos,10 a 14 anos,"500,00","255,00","510,00"
Batista Campos,15 a 19 anos,"510,00","510,00","510,00"
Batista Campos,15 a 17 anos,"505,00","500,00","510,00"
Batista Campos,18 ou 19 anos,"510,00","510,00","510,00"
Batista Campos,20 a 24 anos,"600,00","800,00","520,00"
Batista Campos,25 a 29 anos,"1200,00","1500,00","1100,00"
Batista Campos,30 a 34 anos,"2000,00","2500,00","1664,50"
Batista Campos,35 a 39 anos,"2000,00","3000,00","2000,00"
Batista Campos,40 a 44 anos,"2500,00","3150,00","2000,00"
Batista Campos,45 a 49 anos,"2600,00","3000,00","2000,00"
Batista Campos,50 a 54 anos,"3000,00","4000,00","3000,00"
Batista Campos,55 a 59 anos,"3200,00","4400,00","3000,00"
Batista Campos,60 a 69 anos,"3000,00","5000,00","2200,00"
Batista Campos,70 anos ou mais,"2000,00","3000,00","1500,00"
Canudos,Total,"700,00","800,00","600,00"
Canudos,10 a 14 anos,"510,00","450,00","510,00"
Canudos,15 a 19 anos,"510,00","510,00","450,00"
Canudos,15 a 17 anos,"300,00","300,00","256,00"
Canudos,18 ou 19 anos,"510,00","510,00","510,00"
Canudos,20 a 24 anos,"510,00","510,00","510,00"
Canudos,25 a 29 anos,"600,00","700,00","565,00"
Canudos,30 a 34 anos,"700,00","800,00","600,00"
Canudos,35 a 39 anos,"800,00","1000,00","650,00"
Canudos,40 a 44 anos,"800,00","1000,00","700,00"
Canudos,45 a 49 anos,"900,00","1000,00","800,00"
Canudos,50 a 54 anos,"1000,00","1000,00","800,00"
Canudos,55 a 59 anos,"1000,00","1200,00","883,50"
Canudos,60 a 69 anos,"800,00","1020,00","555,00"
Canudos,70 anos ou mais,"510,00","800,00","510,00"
Cidade Velha,Total,"1000,00","1200,00","1000,00"
Cidade Velha,10 a 14 anos,"510,00","510,00","510,00"
Cidade Velha,15 a 19 anos,"510,00","510,00","510,00"
Cidade Velha,15 a 17 anos,"480,00","510,00","300,00"
Cidade Velha,18 ou 19 anos,"510,00","510,00","510,00"
Cidade Velha,20 a 24 anos,"510,00","570,00","510,00"
Cidade Velha,25 a 29 anos,"800,00","1000,00","646,00"
Cidade Velha,30 a 34 anos,"1000,00","1020,00","1000,00"
Cidade Velha,35 a 39 anos,"1100,00","1200,00","1000,00"
Cidade Velha,40 a 44 anos,"1271,50","1500,00","1020,00"
Cidade Velha,45 a 49 anos,"1500,00","1500,00","1100,00"
Cidade Velha,50 a 54 anos,"1500,00","2000,00","1200,00"
Cidade Velha,55 a 59 anos,"1640,00","2000,00","1500,00"
Cidade Velha,60 a 69 anos,"1200,00","1500,00","1020,00"
Cidade Velha,70 anos ou mais,"1000,00","1300,00","700,00"
Condor,Total,"510,00","560,00","510,00"
Condor,10 a 14 anos,"100,00","100,00","109,00"
Condor,15 a 19 anos,"400,00","420,00","400,00"
Condor,15 a 17 anos,"255,00","300,00","250,00"
Condor,18 ou 19 anos,"510,00","510,00","510,00"
Condor,20 a 24 anos,"510,00","510,00","510,00"
Condor,25 a 29 anos,"510,00","510,00","510,00"
Condor,30 a 34 anos,"510,00","600,00","510,00"
Condor,35 a 39 anos,"510,00","600,00","510,00"
Condor,40 a 44 anos,"600,00","700,00","510,00"
Condor,45 a 49 anos,"600,00","800,00","510,00"
Condor,50 a 54 anos,"600,00","750,00","510,00"
Condor,55 a 59 anos,"600,00","760,00","510,00"
Condor,60 a 69 anos,"510,00","600,00","510,00"
Condor,70 anos ou mais,"510,00","510,00","510,00"
Cremação,Total,"800,00","900,00","650,00"
Cremação,10 a 14 anos,"130,00","212,00","120,00"
Cremação,15 a 19 anos,"510,00","510,00","500,00"
Cremação,15 a 17 anos,"400,00","500,00","300,00"
Cremação,18 ou 19 anos,"510,00","510,00","510,00"
Cremação,20 a 24 anos,"510,00","510,00","510,00"
Cremação,25 a 29 anos,"667,00","700,00","600,00"
Cremação,30 a 34 anos,"760,00","800,00","700,00"
Cremação,35 a 39 anos,"800,00","1000,00","630,00"
Cremação,40 a 44 anos,"800,00","1000,00","700,00"
