Bairro,Grupo de idade,N,N Homens,N Mulheres,P,P Homens,P Mulheres,avg,avg Homens,avg Mulheres,mdn,mdn Homens,mdn Mulheres
Batista Campos,Total,11763.0,5232.0,6531.0,100.0,44.48,55.52,3742.05,4662.24,3004.88,2000.0,2550.0,1700.0
Batista Campos,10 a 14 anos,34.0,19.0,15.0,0.29,0.16,0.13,1064.65,1164.42,938.27,500.0,255.0,510.0
Batista Campos,15 a 19 anos,235.0,92.0,143.0,2.0,0.78,1.22,670.0,718.66,638.69,510.0,510.0,510.0
Batista Campos,15 a 17 anos,80.0,36.0,44.0,0.68,0.31,0.37,649.31,765.0,554.66,505.0,500.0,510.0
Batista Campos,18 ou 19 anos,155.0,56.0,99.0,1.32,0.48,0.84,680.67,688.88,676.03,510.0,510.0,510.0
Batista Campos,20 a 24 anos,894.0,410.0,484.0,7.6,3.49,4.11,1126.7,1370.49,920.19,600.0,800.0,520.0
Batista Campos,25 a 29 anos,1255.0,548.0,707.0,10.67,4.66,6.01,2136.77,2514.03,1844.36,1200.0,1500.0,1100.0
Batista Campos,30 a 34 anos,1130.0,526.0,604.0,9.61,4.47,5.13,3051.18,3501.75,2658.78,2000.0,2500.0,1664.5
Batista Campos,35 a 39 anos,1070.0,471.0,599.0,9.1,4.0,5.09,3668.95,4570.77,2959.84,2000.0,3000.0,2000.0
Batista Campos,40 a 44 anos,1157.0,542.0,615.0,9.84,4.61,5.23,4025.79,5086.16,3091.28,2500.0,3150.0,2000.0
Batista Campos,45 a 49 anos,1131.0,543.0,588.0,9.61,4.62,5.0,4576.26,5216.55,3984.97,2600.0,3000.0,2000.0
Batista Campos,50 a 54 anos,1060.0,483.0,577.0,9.01,4.11,4.91,5112.52,6317.16,4104.12,3000.0,4000.0,3000.0
Batista Campos,55 a 59 anos,914.0,384.0,530.0,7.77,3.26,4.51,5609.7,6991.46,4608.58,3200.0,4400.0,3000.0
Batista Campos,60 a 69 anos,1458.0,662.0,796.0,12.39,5.63,6.77,4841.85,6317.67,3614.47,3000.0,5000.0,2200.0
Batista Campos,70 anos ou mais,1425.0,552.0,873.0,12.11,4.69,7.42,3734.73,5186.2,2816.95,2000.0,3000.0,1500.0
Canudos,Total,7863.0,3811.0,4052.0,100.0,48.47,51.53,1275.72,1450.81,1111.05,700.0,800.0,600.0
Canudos,10 a 14 anos,37.0,13.0,24.0,0.47,0.17,0.31,478.3,441.54,498.21,510.0,450.0,510.0
Canudos,15 a 19 anos,155.0,71.0,84.0,1.97,0.9,1.07,475.91,495.52,459.33,510.0,510.0,450.0
Canudos,15 a 17 anos,55.0,28.0,27.0,0.7,0.36,0.34,366.25,402.0,329.19,300.0,300.0,256.0
Canudos,18 ou 19 anos,100.0,43.0,57.0,1.27,0.55,0.72,536.22,556.42,520.98,510.0,510.0,510.0
Canudos,20 a 24 anos,669.0,373.0,296.0,8.51,4.74,3.76,713.15,749.01,667.95,510.0,510.0,510.0
Canudos,25 a 29 anos,899.0,474.0,425.0,11.43,6.03,5.41,986.53,1064.01,900.13,600.0,700.0,565.0
