"Tabela 3033 - Número de domicílios particulares ocupados, pessoas residentes em domicílios particulares ocupados e média de moradores em domicílios particulares ocupados, por situação e localização da área - Sinopse"
"Variável - Pessoas residentes em domicílios particulares (Pessoas)"
"Bairro";"Ano x Situação e localização da área"
"Bairro";"2010"
"Bairro";"Total";"Urbana - cidade ou vila - área urbanizada"
"Batista Campos - Belém (PA)";"19062";"19062"
"Canudos - Belém (PA)";"13789";"13789"
"Cidade Velha - Belém (PA)";"12119";"12119"
"Condor - Belém (PA)";"42699";"42699"
"Cremação - Belém (PA)";"31257";"31257"
"Guamá - Belém (PA)";"94432";"94432"
"Jurunas - Belém (PA)";"64478";"64478"
"Marambaia - Belém (PA)";"66697";"66697"
"Marco - Belém (PA)";"65819";"65819"
"Fátima - Belém (PA)";"12385";"12385"
"Nazaré - Belém (PA)";"20449";"20449"
"Pedreira - Belém (PA)";"69544";"69544"
"Reduto - Belém (PA)";"6358";"6358"
"Sacramenta - Belém (PA)";"44413";"44413"
"São Brás - Belém (PA)";"19865";"19865"
"Souza - Belém (PA)";"13137";"13137"
"Telégrafo - Belém (PA)";"42953";"42953"
"Montese (Terra Firme) - Belém (PA)";"61438";"61438"
"Campina - Belém (PA)";"6108";"6108"
"Umarizal - Belém (PA)";"30025";"30025"
"Barreiro - Belém (PA)";"26003";"26003"
"Maracangalha - Belém (PA)";"30534";"30534"
"Miramar - Belém (PA)";"515";"515"
"Curió-Utinga - Belém (PA)";"16639";"16316"
"Val-de-Cães - Belém (PA)";"7028";"7028"
"Mangueirão - Belém (PA)";"36224";"36224"
"Universitário - Belém (PA)";"2557";"2557"
"Castanheira - Belém (PA)";"24383";"24383"
"Guanabara - Belém (PA)";"1588";"1588"
"Águas Lindas - Belém (PA)";"17520";"17520"
"Aurá - Belém (PA)";"1827";"1827"
"Bengui - Belém (PA)";"29379";"29379"
"Cabanagem - Belém (PA)";"27781";"27781"
"Coqueiro - Belém (PA)";"51588";"51588"
"Parque Verde - Belém (PA)";"39126";"39126"
"Pratinha - Belém (PA)";"22585";"22585"
"São Clemente - Belém (PA)";"7714";"7714"
"Tapanã - Belém (PA)";"66642";"66642"
"Una - Belém (PA)";"6724";"6724"
"Águas Negras - Belém (PA)";"6890";"6890"
"Agulha - Belém (PA)";"19712";"19712"
"Campina de Icoaraci - Belém (PA)";"26718";"26718"
"Cruzeiro - Belém (PA)";"11644";"11644"
"Maracacuera - Belém (PA)";"13681";"13681"
"Paracuri - Belém (PA)";"9934";"9934"
"Parque Guajará - Belém (PA)";"34774";"34774"
"Ponta Grossa - Belém (PA)";"13245";"13245"
"Tenoné - Belém (PA)";"30429";"30429"
"São João do Outeiro - Belém (PA)";"12124";"12124"
"Itaiteua - Belém (PA)";"1939";"1939"
"Brasília - Belém (PA)";"6012";"6012"
"Água Boa - Belém (PA)";"8553";"8553"
"Aeroporto - Belém (PA)";"1170";"1170"
"Arirambá - Belém (PA)";"1942";"1942"
"Carananduba - Belém (PA)";"5445";"5445"
"Caruara - Belém (PA)";"794";"-"
"Farol - Belém (PA)";"849";"849"
"Mangueiras - Belém (PA)";"2842";"2842"
"Maracajá - Belém (PA)";"3345";"3345"
"Natal do Murubira - Belém (PA)";"1098";"1098"
"Porto Arthur - Belém (PA)";"282";"282"
"São Francisco - Belém (PA)";"2437";"2437"
"Sucurijuquara - Belém (PA)";"1074";"-"
"Vila - Belém (PA)";"3034";"3034"
"Praia Grande - Belém (PA)";"748";"748"
"Chapéu Virado - Belém (PA)";"1156";"1156"
"Murubira - Belém (PA)";"1517";"1517"
"Bonfim - Belém (PA)";"776";"776"
"Marahú - Belém (PA)";"132";"-"
"Paraíso - Belém (PA)";"315";"-"
"Baía do Sol - Belém (PA)";"2414";"-"

