"Tabela 3033 - Número de domicílios particulares ocupados, pessoas residentes em domicílios particulares ocupados e média de moradores em domicílios particulares ocupados, por situação e localização da área - Sinopse"
"Variável - Média de moradores em domicílios particulares ocupados (Pessoas)"
"Bairro";"Ano x Situação e localização da área"
"Bairro";"2010"
"Bairro";"Total";"Urbana - cidade ou vila - área urbanizada"
"Batista Campos - Belém (PA)";"3,29";"3,29"
"Canudos - Belém (PA)";"3,81";"3,81"
"Cidade Velha - Belém (PA)";"3,93";"3,93"
"Condor - Belém (PA)";"4,10";"4,10"
"Cremação - Belém (PA)";"3,76";"3,76"
"Guamá - Belém (PA)";"4,04";"4,04"
"Jurunas - Belém (PA)";"4,06";"4,06"
"Marambaia - Belém (PA)";"3,80";"3,80"
"Marco - Belém (PA)";"3,62";"3,62"
"Fátima - Belém (PA)";"4,12";"4,12"
"Nazaré - Belém (PA)";"3,19";"3,19"
"Pedreira - Belém (PA)";"3,66";"3,66"
"Reduto - Belém (PA)";"3,27";"3,27"
"Sacramenta - Belém (PA)";"3,86";"3,86"
"São Brás - Belém (PA)";"3,40";"3,40"
"Souza - Belém (PA)";"3,42";"3,42"
"Telégrafo - Belém (PA)";"4,06";"4,06"
"Montese (Terra Firme) - Belém (PA)";"3,97";"3,97"
"Campina - Belém (PA)";"2,94";"2,94"
"Umarizal - Belém (PA)";"3,50";"3,50"
"Barreiro - Belém (PA)";"4,13";"4,13"
"Maracangalha - Belém (PA)";"3,96";"3,96"
"Miramar - Belém (PA)";"3,71";"3,71"
"Curió-Utinga - Belém (PA)";"3,77";"3,75"
"Val-de-Cães - Belém (PA)";"3,68";"3,68"
"Mangueirão - Belém (PA)";"3,59";"3,59"
"Universitário - Belém (PA)";"3,71";"3,71"
"Castanheira - Belém (PA)";"3,63";"3,63"
"Guanabara - Belém (PA)";"3,69";"3,69"
"Águas Lindas - Belém (PA)";"3,71";"3,71"
"Aurá - Belém (PA)";"3,54";"3,54"
"Bengui - Belém (PA)";"3,87";"3,87"
"Cabanagem - Belém (PA)";"3,88";"3,88"
"Coqueiro - Belém (PA)";"3,64";"3,64"
"Parque Verde - Belém (PA)";"3,63";"3,63"
"Pratinha - Belém (PA)";"3,94";"3,94"
"São Clemente - Belém (PA)";"3,63";"3,63"
"Tapanã - Belém (PA)";"3,80";"3,80"
"Una - Belém (PA)";"3,66";"3,66"
"Águas Negras - Belém (PA)";"3,74";"3,74"
"Agulha - Belém (PA)";"3,81";"3,81"
"Campina de Icoaraci - Belém (PA)";"3,78";"3,78"
"Cruzeiro - Belém (PA)";"3,75";"3,75"
"Maracacuera - Belém (PA)";"3,83";"3,83"
"Paracuri - Belém (PA)";"3,89";"3,89"
"Parque Guajará - Belém (PA)";"3,71";"3,71"
"Ponta Grossa - Belém (PA)";"3,59";"3,59"
"Tenoné - Belém (PA)";"3,68";"3,68"
"São João do Outeiro - Belém (PA)";"3,59";"3,59"
"Itaiteua - Belém (PA)";"3,69";"3,69"
"Brasília - Belém (PA)";"3,73";"3,73"
"Água Boa - Belém (PA)";"3,59";"3,59"
"Aeroporto - Belém (PA)";"3,64";"3,64"
"Arirambá - Belém (PA)";"3,74";"3,74"
"Carananduba - Belém (PA)";"3,96";"3,96"
"Caruara - Belém (PA)";"3,91";"-"
"Farol - Belém (PA)";"3,60";"3,60"
"Mangueiras - Belém (PA)";"3,61";"3,61"
"Maracajá - Belém (PA)";"3,96";"3,96"
"Natal do Murubira - Belém (PA)";"3,77";"3,77"
"Porto Arthur - Belém (PA)";"3,76";"3,76"
"São Francisco - Belém (PA)";"3,86";"3,86"
"Sucurijuquara - Belém (PA)";"4,18";"-"
"Vila - Belém (PA)";"3,60";"3,60"
"Praia Grande - Belém (PA)";"3,80";"3,80"
"Chapéu Virado - Belém (PA)";"3,59";"3,59"
"Murubira - Belém (PA)";"3,47";"3,47"
"Bonfim - Belém (PA)";"3,70";"3,70"
"Marahú - Belém (PA)";"3,14";"-"
"Paraíso - Belém (PA)";"3,32";"-"
"Baía do Sol - Belém (PA)";"4,10";"-"
