"Tabela 3170 - Pessoas de 10 anos ou mais de idade, com rendimento, Valor do rendimento nominal médio mensal e Valor do rendimento nominal mediano mensal das pessoas de 10 anos ou mais de idade, com rendimento, por sexo, situação do domicílio e grupos de idade"
"Variável - Pessoas de 10 anos ou mais de idade, com rendimento (Pessoas)"
"Bairro";"Grupo de idade";"Ano x Sexo x Situação do domicílio"
"Bairro";"Grupo de idade";"2010"
"Bairro";"Grupo de idade";"Total";"Homens";"Mulheres"
"Bairro";"Grupo de idade";"Total";"Total";"Total"
"Batista Campos - Belém (PA)";"Total";"11763";"5232";"6531"
"Batista Campos - Belém (PA)";"10 a 14 anos";"34";"19";"15"
"Batista Campos - Belém (PA)";"15 a 19 anos";"235";"92";"143"
"Batista Campos - Belém (PA)";"15 a 17 anos";"80";"36";"44"
"Batista Campos - Belém (PA)";"18 ou 19 anos";"155";"56";"99"
"Batista Campos - Belém (PA)";"20 a 24 anos";"894";"410";"484"
"Batista Campos - Belém (PA)";"25 a 29 anos";"1255";"548";"707"
"Batista Campos - Belém (PA)";"30 a 34 anos";"1130";"526";"604"
"Batista Campos - Belém (PA)";"35 a 39 anos";"1070";"471";"599"
"Batista Campos - Belém (PA)";"40 a 44 anos";"1157";"542";"615"
"Batista Campos - Belém (PA)";"45 a 49 anos";"1131";"543";"588"
"Batista Campos - Belém (PA)";"50 a 54 anos";"1060";"483";"577"
"Batista Campos - Belém (PA)";"55 a 59 anos";"914";"384";"530"
"Batista Campos - Belém (PA)";"60 a 69 anos";"1458";"662";"796"
"Batista Campos - Belém (PA)";"70 anos ou mais";"1425";"552";"873"
"Canudos - Belém (PA)";"Total";"7863";"3811";"4052"
"Canudos - Belém (PA)";"10 a 14 anos";"37";"13";"24"
"Canudos - Belém (PA)";"15 a 19 anos";"155";"71";"84"
"Canudos - Belém (PA)";"15 a 17 anos";"55";"28";"27"
"Canudos - Belém (PA)";"18 ou 19 anos";"100";"43";"57"
"Canudos - Belém (PA)";"20 a 24 anos";"669";"373";"296"
"Canudos - Belém (PA)";"25 a 29 anos";"899";"474";"425"
"Canudos - Belém (PA)";"30 a 34 anos";"905";"453";"452"
"Canudos - Belém (PA)";"35 a 39 anos";"892";"455";"437"
"Canudos - Belém (PA)";"40 a 44 anos";"812";"415";"397"
"Canudos - Belém (PA)";"45 a 49 anos";"778";"370";"408"
"Canudos - Belém (PA)";"50 a 54 anos";"645";"318";"327"
"Canudos - Belém (PA)";"55 a 59 anos";"527";"255";"272"
