"Tabela 3170 - Pessoas de 10 anos ou mais de idade, com rendimento, Valor do rendimento nominal médio mensal e Valor do rendimento nominal mediano mensal das pessoas de 10 anos ou mais de idade, com rendimento, por sexo, situação do domicílio e grupos de idade"
"Variável - Valor do rendimento nominal médio mensal das pessoas de 10 anos ou mais de idade, com rendimento (Reais)"
"Bairro";"Grupo de idade";"Ano x Sexo x Situação do domicílio"
"Bairro";"Grupo de idade";"2010"
"Bairro";"Grupo de idade";"Total";"Homens";"Mulheres"
"Bairro";"Grupo de idade";"Total";"Total";"Total"
"Batista Campos - Belém (PA)";"Total";"3742,05";"4662,24";"3004,88"
"Batista Campos - Belém (PA)";"10 a 14 anos";"1064,65";"1164,42";"938,27"
"Batista Campos - Belém (PA)";"15 a 19 anos";"670,00";"718,66";"638,69"
"Batista Campos - Belém (PA)";"15 a 17 anos";"649,31";"765,00";"554,66"
"Batista Campos - Belém (PA)";"18 ou 19 anos";"680,67";"688,88";"676,03"
"Batista Campos - Belém (PA)";"20 a 24 anos";"1126,70";"1370,49";"920,19"
"Batista Campos - Belém (PA)";"25 a 29 anos";"2136,77";"2514,03";"1844,36"
"Batista Campos - Belém (PA)";"30 a 34 anos";"3051,18";"3501,75";"2658,78"
"Batista Campos - Belém (PA)";"35 a 39 anos";"3668,95";"4570,77";"2959,84"
"Batista Campos - Belém (PA)";"40 a 44 anos";"4025,79";"5086,16";"3091,28"
"Batista Campos - Belém (PA)";"45 a 49 anos";"4576,26";"5216,55";"3984,97"
"Batista Campos - Belém (PA)";"50 a 54 anos";"5112,52";"6317,16";"4104,12"
"Batista Campos - Belém (PA)";"55 a 59 anos";"5609,70";"6991,46";"4608,58"
"Batista Campos - Belém (PA)";"60 a 69 anos";"4841,85";"6317,67";"3614,47"
"Batista Campos - Belém (PA)";"70 anos ou mais";"3734,73";"5186,20";"2816,95"
"Canudos - Belém (PA)";"Total";"1275,72";"1450,81";"1111,05"
"Canudos - Belém (PA)";"10 a 14 anos";"478,30";"441,54";"498,21"
"Canudos - Belém (PA)";"15 a 19 anos";"475,91";"495,52";"459,33"
"Canudos - Belém (PA)";"15 a 17 anos";"366,25";"402,00";"329,19"
"Canudos - Belém (PA)";"18 ou 19 anos";"536,22";"556,42";"520,98"
"Canudos - Belém (PA)";"20 a 24 anos";"713,15";"749,01";"667,95"
"Canudos - Belém (PA)";"25 a 29 anos";"986,53";"1064,01";"900,13"
"Canudos - Belém (PA)";"30 a 34 anos";"1081,37";"1150,55";"1012,04"
"Canudos - Belém (PA)";"35 a 39 anos";"1216,94";"1347,61";"1080,88"
"Canudos - Belém (PA)";"40 a 44 anos";"1327,71";"1484,15";"1164,17"
"Canudos - Belém (PA)";"45 a 49 anos";"1520,83";"1754,17";"1309,23"
"Canudos - Belém (PA)";"50 a 54 anos";"1744,80";"2089,61";"1409,47"
"Canudos - Belém (PA)";"55 a 59 anos";"1720,70";"2074,35";"1389,15"
"Canudos - Belém (PA)";"60 a 69 anos";"1656,88";"2000,75";"1395,68"
"Canudos - Belém (PA)";"70 anos ou mais";"1237,76";"1608,69";"1022,71"
"Cidade Velha - Belém (PA)";"Total";"1931,71";"2238,48";"1648,93"
"Cidade Velha - Belém (PA)";"10 a 14 anos";"714,12";"693,37";"740,40"
