"Tabela 3170 - Pessoas de 10 anos ou mais de idade, com rendimento, Valor do rendimento nominal médio mensal e Valor do rendimento nominal mediano mensal das pessoas de 10 anos ou mais de idade, com rendimento, por sexo, situação do domicílio e grupos de idade"
"Variável - Valor do rendimento nominal mediano mensal das pessoas de 10 anos ou mais de idade, com rendimento (Reais)"
"Bairro";"Grupo de idade";"Ano x Sexo x Situação do domicílio"
"Bairro";"Grupo de idade";"2010"
"Bairro";"Grupo de idade";"Total";"Homens";"Mulheres"
"Bairro";"Grupo de idade";"Total";"Total";"Total"
"Batista Campos - Belém (PA)";"Total";"2000,00";"2550,00";"1700,00"
"Batista Campos - Belém (PA)";"10 a 14 anos";"500,00";"255,00";"510,00"
"Batista Campos - Belém (PA)";"15 a 19 anos";"510,00";"510,00";"510,00"
"Batista Campos - Belém (PA)";"15 a 17 anos";"505,00";"500,00";"510,00"
"Batista Campos - Belém (PA)";"18 ou 19 anos";"510,00";"510,00";"510,00"
"Batista Campos - Belém (PA)";"20 a 24 anos";"600,00";"800,00";"520,00"
"Batista Campos - Belém (PA)";"25 a 29 anos";"1200,00";"1500,00";"1100,00"
"Batista Campos - Belém (PA)";"30 a 34 anos";"2000,00";"2500,00";"1664,50"
"Batista Campos - Belém (PA)";"35 a 39 anos";"2000,00";"3000,00";"2000,00"
"Batista Campos - Belém (PA)";"40 a 44 anos";"2500,00";"3150,00";"2000,00"
"Batista Campos - Belém (PA)";"45 a 49 anos";"2600,00";"3000,00";"2000,00"
"Batista Campos - Belém (PA)";"50 a 54 anos";"3000,00";"4000,00";"3000,00"
"Batista Campos - Belém (PA)";"55 a 59 anos";"3200,00";"4400,00";"3000,00"
"Batista Campos - Belém (PA)";"60 a 69 anos";"3000,00";"5000,00";"2200,00"
"Batista Campos - Belém (PA)";"70 anos ou mais";"2000,00";"3000,00";"1500,00"
"Canudos - Belém (PA)";"Total";"700,00";"800,00";"600,00"
"Canudos - Belém (PA)";"10 a 14 anos";"510,00";"450,00";"510,00"
"Canudos - Belém (PA)";"15 a 19 anos";"510,00";"510,00";"450,00"
"Canudos - Belém (PA)";"15 a 17 anos";"300,00";"300,00";"256,00"
"Canudos - Belém (PA)";"18 ou 19 anos";"510,00";"510,00";"510,00"
"Canudos - Belém (PA)";"20 a 24 anos";"510,00";"510,00";"510,00"
"Canudos - Belém (PA)";"25 a 29 anos";"600,00";"700,00";"565,00"
"Canudos - Belém (PA)";"30 a 34 anos";"700,00";"800,00";"600,00"
